item_id,dataset,subset,source_file,poet,poem_id,title,text,authorship,tier,meta_json,human_quality_composite,tier_numeric
chaudhuri_2024_1,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,W. H. Auden,1,Funeral Blues,"Funeral Blues
Stop all the clocks, cut off the telephone,
Prevent the dog from barking with a juicy bone,
Silence the pianos and with muffled drum
Bring out the coffin, let the mourners come.
Let aeroplanes circle moaning overhead
Scribbling on the sky the message ‘He is Dead’.
Put crepe bows round the white necks of the public doves,
Let the traffic policemen wear black cotton gloves.
He was my North, my South, my East and West,
My working week and my Sunday rest,
My noon, my midnight, my talk, my song;
I thought that love would last forever: I was wrong.
The stars are not wanted now; put out every one,
Pack up the moon and dismantle the sun,
Pour away the ocean and sweep up the wood;
For nothing now can ever come to any good.
---W. H. Auden",human,human,"{""dsi_mean"": 0.807003050495615, ""genre"": ""Modernist"", ""lexical_diversity_ttr"": 0.742647058823529, ""no_of_lines"": 16, ""theme"": ""Grief"", ""word_count"": 136}",0.7105034722222222,3
chaudhuri_2024_2,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,W.S. Merwin,2,At the Same Time,"At the Same Time

While we talk
thousands of languages are listening
saying nothing
while we close a door
flocks of birds are flying through winters

of endless light

while we sign our names
more of us
lets go

and will never answer
– W.S. Merwin",human,human,"{""dsi_mean"": 0.811026730438298, ""genre"": ""Contemporary"", ""lexical_diversity_ttr"": 0.794871794871795, ""no_of_lines"": 10, ""theme"": ""Transience of existence"", ""word_count"": 39}",0.5516493055555556,3
chaudhuri_2024_3,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Charles Simic,3,The Supreme Moment,"The Supreme Moment

As an ant is powerless
Against a raised boot,
And only has an instant
To have a bright idea or two.
The black boot so polished,
He can see himself
Reflected in it, distorted,
Perhaps made larger
Into a huge monster ant
Shaking his arms and legs
Threateningly?

The boot may be hesitating,
Demurring, having misgivings,
Gathering cobwebs,
Dew?
Yes, and apparently no.

---Charles Simic",human,human,"{""dsi_mean"": 0.835476344603622, ""genre"": ""Contemporary"", ""lexical_diversity_ttr"": 0.888888888888889, ""no_of_lines"": 16, ""theme"": ""Powerlessness of humans"", ""word_count"": 63}",0.6046006944444444,3
chaudhuri_2024_4,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Langston Hughes,4,Peace,"Peace

We passed their graves:
The dead men there,
Winners or losers,
Did not care.
In the dark
They could not see
Who had gained
The victory.

---Langston Hughes",human,human,"{""dsi_mean"": 0.777770046788341, ""genre"": ""War poetry"", ""lexical_diversity_ttr"": 0.884615384615385, ""no_of_lines"": 8, ""theme"": ""Futility of war"", ""word_count"": 26}",0.6662326388888888,3
chaudhuri_2024_5,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Robert Frost,5,A Peck of Gold,"A Peck of Gold

Dust always blowing about the town,
Except when sea-fog laid it down,
And I was one of the children told
Some of the blowing dust was gold.

All the dust the wind blew high
Appeared like god in the sunset sky,
But I was one of the children told
Some of the dust was really gold.

Such was life in the Golden Gate:
Gold dusted all we drank and ate,
And I was one of the children told,
'We all must eat our peck of gold.'

--- Robert Frost",human,human,"{""dsi_mean"": 0.761799609994346, ""genre"": ""Modernist"", ""lexical_diversity_ttr"": 0.569767441860465, ""no_of_lines"": 12, ""theme"": ""Illusion"", ""word_count"": 86}",0.6171875,3
chaudhuri_2024_6,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Robert Frost,6,The Freedom of the Moon,"The Freedom of the Moon

I've tried the new moon tilted in the air
Above a hazy tree-and-farmhouse cluster
As you might try a jewel in your hair.
I've tried it fine with little breadth of luster,
Alone, or in one ornament combining
With one first-water start almost shining.

I put it shining anywhere I please.
By walking slowly on some evening later,
I've pulled it from a crate of crooked trees,
And brought it over glossy water, greater,
And dropped it in, and seen the image wallow,
The color run, all sorts of wonder follow.

--- Robert Frost",human,human,"{""dsi_mean"": 0.808867364934098, ""genre"": ""Contemporary"", ""lexical_diversity_ttr"": 0.769230769230769, ""no_of_lines"": 12, ""theme"": ""Awe inspiring nature"", ""word_count"": 91}",0.5447048611111112,3
chaudhuri_2024_7,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Robert Frost,7,Stopping by Woods on a Snowy Evening,"Stopping by Woods on a Snowy Evening

Whose woods these are I think I know.
His house is in the village, though;
He will not see me stopping here
To watch his woods fill up with snow.

My little horse must think it queer
To stop without a farmhouse near
Between the woods and frozen lake
The darkest evening of the year.

He gives his harness bells a shake
To ask if there is some mistake.
The only other sound's the sweep
Of easy wind and downy flake.

The woods are lovely, dark and deep,
But I have promises to keep,
And miles to go before I sleep,
And miles to go before I sleep.

--- Robert Frost",human,human,"{""dsi_mean"": 0.784854707542752, ""genre"": ""Modernist"", ""lexical_diversity_ttr"": 0.694444444444444, ""no_of_lines"": 16, ""theme"": ""Contemplation"", ""word_count"": 108}",0.6380208333333334,3
chaudhuri_2024_8,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Maya Angelou,8,When You Come,"When you Come to me

When you come to me, unbidden,
Beckoning me
To long-ago rooms,
Where memories lie.

Offering me, as to a child, an attic,
Gatherings of days too few.
Baubles of stolen kisses.
Trinkets of borrowed loves.
Trunks of secret words,

I CRY.

--- Maya Angelou",human,human,"{""dsi_mean"": 0.828477408032216, ""genre"": ""Contemporary"", ""lexical_diversity_ttr"": 0.829268292682927, ""no_of_lines"": 10, ""theme"": ""Nostalgia"", ""word_count"": 41}",0.6111111111111112,3
chaudhuri_2024_9,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,William Shakespeare,9,Sonnet 116,"Sonnet 116

Let me not to the marriage of true minds
Admit impediments. Love is not love
Which alters when it alteration finds,
Or bends with the remover to remove.
O no, it is an ever-fixèd mark
That looks on tempests and is never shaken;
It is the star to every wand'ring bark,
Whose worth's unknown, although his height be taken.
Love's not Time's fool, though rosy lips and cheeks
Within his bending sickle's compass come;
Love alters not with his brief hours and weeks,
But bears it out even to the edge of doom.
If this be error and upon me proved,
I never writ, nor no man ever loved.

--- William Shakespeare",human,human,"{""dsi_mean"": 0.802450923443158, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.752293577981651, ""no_of_lines"": 14, ""theme"": ""Eternity of love"", ""word_count"": 109}",0.5329861111111112,3
chaudhuri_2024_10,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Emily Dickinson,10,Apparently with no Surprise,"Apparently with no Surprise

Apparently with no surprise,
To any happy flower,
The frost beheads it at its play,
In accidental power.
The blond assassin passes on.
The sun proceeds unmoved,
To measure off another day,
For an approving God.

--- Emily Dickinson",human,human,"{""dsi_mean"": 0.829957129540306, ""genre"": ""Nature poetry"", ""lexical_diversity_ttr"": 0.916666666666667, ""no_of_lines"": 8, ""theme"": ""Transience of life"", ""word_count"": 36}",0.5789930555555556,3
chaudhuri_2024_11,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Emily Dickinson,11,"Will there really be a ""Morning""?","Will there really be a ""Morning""?

Will there really be a ""Morning""?
Is there such a thing as ""Day""?
Could I see it from the mountains
If I were as tall as they?

Has it feet like Water lilies?
Has it feathers like a Bird?
Is it brought from famous countries
Of which I have never heard?

Oh some Scholar! Oh some Sailor!
Oh some Wise Men from the skies!
Please to tell a little Pilgrim
Where the place called ""Morning"" lies!

--- Emily Dickinson",human,human,"{""dsi_mean"": 0.778780514453503, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.710526315789474, ""no_of_lines"": 12, ""theme"": ""Wonder and curiosity"", ""word_count"": 76}",0.6223958333333334,3
chaudhuri_2024_12,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Emily Dickinson,12,Unable are the Loved to die,"Unable are the Loved to die

Unable are the Loved to die
For Love is Immortality,
Nay, it is Deity—

Unable they that love—to die
For Love reforms Vitality
Into Divinity.

--- Emily Dickinson",human,human,"{""dsi_mean"": 0.79995234486589, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.8, ""no_of_lines"": 6, ""theme"": ""Immortality of love"", ""word_count"": 26}",0.5677083333333334,3
chaudhuri_2024_13,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Emily Dickinson,13,How happy is the little Stone,"How happy is the little Stone

How happy is the little Stone
That rambles in the Road alone,
And doesn't care about Careers
And Exigencies never fears—
Whose Coat of elemental Brown
A passing Universe put on,
And independent as the Sun
Associates or glows alone,
Fulfilling absolute Decree
In casual simplicity—

--- Emily Dickinson",human,human,"{""dsi_mean"": 0.838591065766733, ""genre"": ""Nature"", ""lexical_diversity_ttr"": 0.869565217391304, ""no_of_lines"": 10, ""theme"": ""Independence and contentment "", ""word_count"": 46}",0.5681423611111112,3
chaudhuri_2024_14,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,William Blake,14,Ah! Sun-flower,"Ah! Sun-flower

Ah Sunflower, weary of time,
Who countest the steps of the sun;
Seeking after that sweet golden clime
Where the traveller's journey is done;

Where the Youth pined away with desire,
And the pale virgin shrouded in snow,
Arise from their graves, and aspire
Where my Sunflower wishes to go!

--- William Blake",human,human,"{""dsi_mean"": 0.814877945988295, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.84, ""no_of_lines"": 8, ""theme"": ""Individualism "", ""word_count"": 50}",0.5512152777777778,3
chaudhuri_2024_15,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,William Blake,15,The Smile,"The Smile

There is a Smile of Love
And there is a Smile of Deceit
And there is a Smile of Smiles
In which these two Smiles meet

And there is a Frown of Hate
And there is a Frown of disdain
And there is a Frown of Frowns
Which you strive to forget in vain

For it sticks in the Hearts deep Core
And it sticks in the deep Back bone
And no Smile that ever was smild
But only one Smile alone

That betwixt the Cradle & Grave
It only once Smild can be
But when it once is Smild
Theres an end to all Misery

--- William Blake",human,human,"{""dsi_mean"": 0.745567871180481, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.528301886792453, ""no_of_lines"": 16, ""theme"": ""Love and deceit"", ""word_count"": 106}",0.564236111111111,3
chaudhuri_2024_16,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Derek Walcott,16,Love after Love,"Love after Love

The time will come
when, with elation
you will greet yourself arriving
at your own door, in your own mirror
and each will smile at the other's welcome,

and say, sit here. Eat.
You will love again the stranger who was your self.
Give wine. Give bread. Give back your heart

to itself, to the stranger who has loved you

all your life, whom you ignored
for another, who knows you by heart.
Take down the love letters from the bookshelf,

the photographs, the desperate notes,
peel your own image from the mirror.
Sit. Feast on your life.

--- Derek Walcott",human,human,"{""dsi_mean"": 0.783043627531826, ""genre"": ""Contemporary"", ""lexical_diversity_ttr"": 0.673469387755102, ""no_of_lines"": 15, ""theme"": ""Self-love, self-discovery"", ""word_count"": 98}",0.6953125,3
chaudhuri_2024_17,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Wilfred Owen,17,The Last Laugh,"The Last Laugh

'Oh! Jesus Christ! I'm hit,' he said; and died.
Whether he vainly cursed or prayed indeed,
The Bullets chirped-In vain, vain, vain!
Machine-guns chuckled,-Tut-tut! Tut-tut!
And the Big Gun guffawed.

Another sighed,-'O Mother, -Mother, - Dad!'
Then smiled at nothing, childlike, being dead.
And the lofty Shrapnel-cloud
Leisurely gestured,-Fool!
And the splinters spat, and tittered.

'My Love!' one moaned. Love-languid seemed his mood,
Till slowly lowered, his whole faced kissed the mud.
And the Bayonets' long teeth grinned;
Rabbles of Shells hooted and groaned;
And the Gas hissed.
--- Wilfred Owen",human,human,"{""dsi_mean"": 0.844642811354157, ""genre"": ""War poem"", ""lexical_diversity_ttr"": 0.833333333333333, ""no_of_lines"": 15, ""theme"": ""Brutality of war"", ""word_count"": 90}",0.5967881944444444,3
chaudhuri_2024_18,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Dylan Thomas,18,Clown in the Moon,"Clown in the Moon

My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.

--- Dylan Thomas",human,human,"{""dsi_mean"": 0.777142943963943, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.770833333333333, ""no_of_lines"": 8, ""theme"": ""Melancholy"", ""word_count"": 48}",0.6176215277777778,3
chaudhuri_2024_19,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Christina Rossetti,19,Remember,"Remember
Remember me when I am gone away,
Gone far away into the silent land;
When you can no more hold me by the hand,
Nor I half turn to go yet turning stay.
Remember me when no more day by day
You tell me of our future that you plann'd:
Only remember me; you understand
It will be late to counsel then or pray.
Yet if you should forget me for a while
And afterwards remember, do not grieve:
For if the darkness and corruption leave
A vestige of the thoughts that once I had,
Better by far you should forget and smile
Than that you should remember and be sad.
--- Christina Rossetti",human,human,"{""dsi_mean"": 0.737426091588928, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.630630630630631, ""no_of_lines"": 14, ""theme"": ""Love, death, remembrance"", ""word_count"": 111}",0.6375868055555556,3
chaudhuri_2024_20,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,W. B. Yeats,20,When You Are Old,"When You Are Old

WHEN you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep;
How many loved your moments of glad grace,
And loved your beauty with love false or true,
But one man loved the pilgrim Soul in you,
And loved the sorrows of your changing face;
And bending down beside the glowing bars,
Murmur, a little sadly, how Love fled
And paced upon the mountains overhead
And hid his face amid a crowd of stars.
--- William Butler Yeats",human,human,"{""dsi_mean"": 0.786729807988115, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.7, ""no_of_lines"": 12, ""theme"": ""True love"", ""word_count"": 100}",0.618923611111111,3
chaudhuri_2024_21,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,W. B. Yeats,21,Aedh wishes for the Cloths of Heaven,"Aedh wishes for the Cloths of Heaven

Had I the heavens' embroidered cloths,
Enwrought with golden and silver light,
The blue and the dim and the dark cloths
Of night and light and the half-light,
I would spread the cloths under your feet:
But I, being poor, have only my dreams;
I have spread my dreams under your feet;
Tread softly because you tread on my dreams.

--- William Butler Yeats",human,human,"{""dsi_mean"": 0.781051612540057, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.7, ""no_of_lines"": 9, ""theme"": ""Love and dreams"", ""word_count"": 60}",0.6423611111111112,3
chaudhuri_2024_22,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,W.B. Yeats,22,Memory,"Memory
ONE had a lovely face,
And two or three had charm,
But charm and face were in vain
Because the mountain grass
Cannot but keep the form
Where the mountain hare has lain.

--- William Butler Yeats",human,human,"{""dsi_mean"": 0.791407060631497, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.818181818181818, ""no_of_lines"": 6, ""theme"": ""Transience of youth and beauty"", ""word_count"": 33}",0.5260416666666666,3
chaudhuri_2024_23,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Henry Wadsworth Longfellow,23,The Arrow and the Song,"The Arrow and the Song

I shot an arrow into the air,
It fell to earth, I knew not where;
For, so swiftly it flew, the sight
Could not follow it in its flight.

I breathed a song into the air,
It fell to earth, I knew not where;
For who has sight so keen and strong,
That it can follow the flight of song?

Long, long afterward, in an oak
I found the arrow, still unbroke;
And the song, from beginning to end,
I found again in the heart of a friend.

--- Henry Wadsworth Longfellow",human,human,"{""dsi_mean"": 0.757148211941881, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.613636363636364, ""no_of_lines"": 12, ""theme"": ""Power of words and friendship"", ""word_count"": 88}",0.6519097222222222,3
chaudhuri_2024_24,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Sara Teasdale,24,There Will Come Soft Rains,"There Will Come Soft Rains

There will come soft rain and the smell of the ground,
And swallows circling with their shimmering sound;

And frogs in the pools singing at night,
And wild plum trees in tremulous white;

Robins will wear their feathery fire,
Whistling their whims on a low fence-wire;

And not one will know of the war, not one
Will care at last when it is done.

Not one would mind, neither bird nor tree,
If mankind perished utterly;

And Spring herself, when she woke at dawn
Would scarcely know that we were gone.

--- Sara Teasdale",human,human,"{""dsi_mean"": 0.811569486782268, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.747252747252747, ""no_of_lines"": 12, ""theme"": ""War"", ""word_count"": 91}",0.703125,3
chaudhuri_2024_25,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,Sara Teasdale,25,Alone,"Alone
I am alone, in spite of love,
In spite of all I take and give—
In spite of all your tenderness,
Sometimes I am not glad to live.

I am alone, as though I stood
On the highest peak of the tired gray world,
About me only swirling snow,

Above me, endless space unfurled;

With earth hidden and heaven hidden,
And only my own spirit's pride
To keep me from the peace of those
Who are not lonely, having died.
--- Sara Teasdale",human,human,"{""dsi_mean"": 0.776221780930184, ""genre"": ""Romantic "", ""lexical_diversity_ttr"": 0.7, ""no_of_lines"": 12, ""theme"": ""Solitude"", ""word_count"": 80}",0.6697048611111112,3
chaudhuri_2024_26,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,P. B. Shelley,26,Ozymandias,"Ozymandias

I met a traveller from an antique land
Who said: `Two vast and trunkless legs of stone
Stand in the desert. Near them, on the sand,
Half sunk, a shattered visage lies, whose frown,
And wrinkled lip, and sneer of cold command,
Tell that its sculptor well those passions read
Which yet survive, stamped on these lifeless things,
The hand that mocked them and the heart that fed.
And on the pedestal these words appear -
'My name is Ozymandias, king of kings:
Look on my works, ye Mighty, and despair! '
Nothing beside remains. Round the decay
Of that colossal wreck, boundless and bare
The lone and level sands stretch far away.'
--- P. B. Shelley",human,human,"{""dsi_mean"": 0.829266303118255, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.787610619469027, ""no_of_lines"": 14, ""theme"": ""Transience of power "", ""word_count"": 111}",0.540798611111111,3
chaudhuri_2024_27,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,P. B. Shelley,27,Good-Night,"Good-Night

Good-night? ah! no; the hour is ill
Which severs those it should unite;
Let us remain together still,
Then it will be good night.

How can I call the lone night good,
Though thy sweet wishes wing its flight?
Be it not said, thought, understood -
Then it will be - good night.

To hearts which near each other move
From evening close to morning light,
The night is good; because, my love,
They never say good-night.
--- P.B. Shelley",human,human,"{""dsi_mean"": 0.777364619267029, ""genre"": ""Romantic"", ""lexical_diversity_ttr"": 0.805194805194805, ""no_of_lines"": 12, ""theme"": ""Longing for togetherness"", ""word_count"": 75}",0.5651041666666666,3
chaudhuri_2024_28,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,P. B. Shelley,28,A Lament,"A Lament

O World! O Life! O Time!
On whose last steps I climb,
Trembling at that where I had stood before;
When will return the glory of your prime?
No more -Oh, never more!

Out of the day and night
A joy has taken flight:
Fresh spring, and summer, and winter hoar
Move my faint heart with grief, but with
delight
No more -Oh, never more!
--- P.B. Shelley",human,human,"{""dsi_mean"": 0.805801306632993, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.815384615384615, ""no_of_lines"": 10, ""theme"": ""Nostalgia, sadness"", ""word_count"": 65}",0.5546875,3
chaudhuri_2024_29,chaudhuri_2024,aesthetic_creativity,data/raw/poetry/chaudhuri_2024/osfstorage-archive/StimuliSet.pdf,P. B. Shelley,29,Alas! This Is Not What I Thought Life Was.,"Alas! This Is Not What I Thought Life Was

Alas! this is not what I thought life was.
I knew that there were crimes and evil men,
Misery and hate; nor did I hope to pass
Untouched by suffering, through the rugged glen.
In mine own heart I saw as in a glass
The hearts of others ... And when
I went among my kind, with triple brass
Of calm endurance my weak breast I armed,
To bear scorn, fear, and hate, a woful mass!

--- Percy Bysshe Shelley",human,human,"{""dsi_mean"": 0.796107224704641, ""genre"": ""Lyric"", ""lexical_diversity_ttr"": 0.815789473684211, ""no_of_lines"": 9, ""theme"": ""Challenges of life"", ""word_count"": 75}",0.5625,3
